Time,O,H,L,C,V
07/10/2019 05:00:00,1.09801,1.09812,1.09779,1.0978,1194
07/10/2019 06:00:00,1.09781,1.09812,1.0975,1.09796,2442
07/10/2019 07:00:00,1.09795,1.0984,1.09637,1.09726,5013
07/10/2019 08:00:00,1.09727,1.09739,1.0962,1.09642,4682
07/10/2019 09:00:00,1.09641,1.09768,1.09636,1.09747,3044
07/10/2019 10:00:00,1.09746,1.0979,1.09706,1.09784,3112
07/10/2019 11:00:00,1.09782,1.09901,1.09762,1.09872,4487
07/10/2019 12:00:00,1.0987,1.09982,1.09859,1.09979,4103
07/10/2019 13:00:00,1.0998,1.10006,1.09869,1.09936,4588
07/10/2019 14:00:00,1.09935,1.09988,1.09885,1.09947,4707
07/10/2019 15:00:00,1.09946,1.09995,1.09838,1.09838,3978
07/10/2019 16:00:00,1.09839,1.09846,1.09784,1.09828,2668
07/10/2019 17:00:00,1.09826,1.09849,1.09692,1.09775,4704
07/10/2019 18:00:00,1.09775,1.09815,1.09725,1.09738,3858
07/10/2019 19:00:00,1.09737,1.09768,1.09705,1.09743,2555
07/10/2019 20:00:00,1.0974,1.0974,1.09693,1.09705,1158
07/10/2019 21:00:00,1.09707,1.09714,1.09684,1.09709,323
07/10/2019 22:00:00,1.09712,1.09731,1.0971,1.0972,1028
07/10/2019 23:00:00,1.0972,1.0973,1.09709,1.09717,1110
08/10/2019 00:00:00,1.09718,1.09744,1.09649,1.09689,1991
08/10/2019 01:00:00,1.09689,1.09752,1.09663,1.09742,2493
08/10/2019 02:00:00,1.09743,1.09784,1.0973,1.09762,1757
08/10/2019 03:00:00,1.09763,1.09769,1.09732,1.09754,1723
08/10/2019 04:00:00,1.09753,1.09766,1.09742,1.09764,929
08/10/2019 05:00:00,1.09764,1.09786,1.09738,1.09764,1385
08/10/2019 06:00:00,1.09763,1.09854,1.0976,1.09834,3507
08/10/2019 07:00:00,1.0983,1.09843,1.09765,1.09792,5722
08/10/2019 08:00:00,1.09794,1.09919,1.09793,1.09907,5756
08/10/2019 09:00:00,1.09908,1.09926,1.09828,1.09886,4466
08/10/2019 10:00:00,1.09887,1.09958,1.09854,1.09868,4926
08/10/2019 11:00:00,1.0987,1.09928,1.09858,1.0988,5446
08/10/2019 12:00:00,1.09882,1.09928,1.09832,1.09846,5662
08/10/2019 13:00:00,1.09847,1.09867,1.09696,1.0974,5725
08/10/2019 14:00:00,1.09738,1.09756,1.09534,1.0955,6566
08/10/2019 15:00:00,1.09551,1.09585,1.09451,1.09489,5217
08/10/2019 16:00:00,1.09489,1.09573,1.09475,1.09528,3496
08/10/2019 17:00:00,1.09529,1.0956,1.09476,1.09518,3237
08/10/2019 18:00:00,1.09518,1.09619,1.0941,1.09546,6858
08/10/2019 19:00:00,1.09549,1.09594,1.09506,1.09562,6426
08/10/2019 20:00:00,1.09561,1.09584,1.09536,1.09558,1022
08/10/2019 21:00:00,1.09564,1.09576,1.09506,1.09559,883
08/10/2019 22:00:00,1.09559,1.09592,1.09551,1.09584,985
08/10/2019 23:00:00,1.09585,1.09614,1.09581,1.09599,1641
09/10/2019 00:00:00,1.09599,1.09603,1.0955,1.09579,1429
