,Ask,Bid,BrokerName,Creation Time,Current Time,DR,Protocol,Symbol,Terminal,Terminal Time,TypeBroker,X,Y,Z
70,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:36.125000,2019-12-03 17:04:36.128014,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:36.125000,MM,0.0,3.014,3.014
71,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:36.229000,2019-12-03 17:04:36.233015,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:36.229000,MM,0.0,4.015,4.015
72,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:36.342000,2019-12-03 17:04:36.346044,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:36.342000,MM,0.0,4.044,4.044
73,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:36.447000,2019-12-03 17:04:36.450043,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:36.447000,MM,0.0,3.043,3.043
74,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:36.562000,2019-12-03 17:04:36.565014,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:36.562000,MM,0.0,3.014,3.014
75,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:36.670000,2019-12-03 17:04:36.674014,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:36.670000,MM,0.0,4.014,4.014
76,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:36.778000,2019-12-03 17:04:36.782014,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:36.778000,MM,0.0,4.014,4.014
77,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:36.896000,2019-12-03 17:04:36.900014,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:36.896000,MM,0.0,4.014,4.014
78,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:36.996000,2019-12-03 17:04:36.999014,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:36.996000,MM,0.0,3.014,3.014
79,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:37.106000,2019-12-03 17:04:37.110014,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:37.106000,MM,0.0,4.014,4.014
